#r(AU) rdot(AU/day) norm mean_accel
1.050000 -0.002000 45962 0.000000
1.050000 -0.002000 45962 -0.400000
1.050000 -0.002000 45962 0.400000
1.050000 0.002000 46126 0.000000
1.050000 0.002000 46126 -0.400000
1.050000 0.002000 46126 0.400000
1.050000 -0.002000 49519.000000 0.000000
1.050000 -0.002000 49519.000000 -0.200000
1.050000 -0.002000 49519.000000 0.200000
1.050000 -0.002000 49519.000000 -0.400000
1.050000 -0.002000 49519.000000 0.400000
1.050000 -0.002000 49519.000000 -0.600000
1.050000 0.002200 109499.000000 0.000000
1.050000 0.002200 109499.000000 -0.200000
1.050000 0.002200 109499.000000 0.200000
1.050000 0.002200 109499.000000 -0.400000
1.050000 0.002200 109499.000000 0.400000
1.050000 0.002200 109499.000000 -0.600000
1.050000 -0.002200 49519.000000 0.000000
1.050000 -0.002200 49519.000000 -0.200000
1.050000 -0.002200 49519.000000 0.200000
1.050000 -0.002200 49519.000000 -0.400000
1.050000 -0.002200 49519.000000 0.400000
1.050000 -0.002200 49519.000000 -0.600000
1.050000 0.002400 109499.000000 0.000000
1.050000 0.002400 109499.000000 -0.200000
1.050000 0.002400 109499.000000 0.200000
1.050000 0.002400 109499.000000 -0.400000
1.050000 0.002400 109499.000000 0.400000
1.050000 0.002400 109499.000000 -0.600000
1.050000 -0.002400 49519.000000 0.000000
1.050000 -0.002400 49519.000000 -0.200000
1.050000 -0.002400 49519.000000 0.200000
1.050000 -0.002400 49519.000000 -0.400000
1.050000 -0.002400 49519.000000 0.400000
1.050000 -0.002400 49519.000000 -0.600000
1.050000 0.002600 109499.000000 0.000000
1.050000 0.002600 109499.000000 -0.200000
1.050000 0.002600 109499.000000 0.200000
1.050000 0.002600 109499.000000 -0.400000
1.050000 0.002600 109499.000000 0.400000
1.050000 0.002600 109499.000000 -0.600000
1.050000 -0.002600 49519.000000 0.000000
1.050000 -0.002600 49519.000000 -0.200000
1.050000 -0.002600 49519.000000 0.200000
1.050000 -0.002600 49519.000000 -0.400000
1.050000 -0.002600 49519.000000 0.400000
1.050000 -0.002600 49519.000000 -0.600000
1.050000 0.002800 109499.000000 0.000000
1.050000 0.002800 109499.000000 -0.200000
1.050000 0.002800 109499.000000 0.200000
1.050000 0.002800 109499.000000 -0.400000
1.050000 0.002800 109499.000000 0.400000
1.050000 0.002800 109499.000000 -0.600000
1.050000 -0.002800 49519.000000 0.000000
1.050000 -0.002800 49519.000000 -0.200000
1.050000 -0.002800 49519.000000 0.200000
1.050000 -0.002800 49519.000000 -0.400000
1.050000 -0.002800 49519.000000 0.400000
1.050000 -0.002800 49519.000000 -0.600000
1.050000 0.003000 109499.000000 0.000000
1.050000 0.003000 109499.000000 -0.200000
1.050000 0.003000 109499.000000 0.200000
1.050000 0.003000 109499.000000 -0.400000
1.050000 0.003000 109499.000000 0.400000
1.050000 0.003000 109499.000000 -0.600000
1.050000 -0.003000 49519.000000 0.000000
1.050000 -0.003000 49519.000000 -0.200000
1.050000 -0.003000 49519.000000 0.200000
1.050000 -0.003000 49519.000000 -0.400000
1.050000 -0.003000 49519.000000 0.400000
1.050000 -0.003000 49519.000000 -0.600000
1.050000 0.003200 109499.000000 0.000000
1.050000 0.003200 109499.000000 -0.200000
1.050000 0.003200 109499.000000 0.200000
1.050000 0.003200 109499.000000 -0.400000
1.050000 0.003200 109499.000000 0.400000
1.050000 0.003200 109499.000000 -0.600000
