L_true,dpa,L_meas
8.0,2.9875412,12.588069915771484
8.0,27.932404,12.536087989807129
8.0,6.4259644,23.270532608032227
8.0,56.61499,13.946150779724121
8.0,6.482361,11.070883750915527
8.0,6.6280975,12.545100212097168
8.0,6.8834305,13.475479125976562
8.0,13.574051,12.595343589782715
10.0,17.95221,14.765050888061523
10.0,13.483719,8.994057655334473
10.0,18.30368,22.10872459411621
10.0,0.98464966,16.000808715820312
10.0,82.71155,8.122666358947754
10.0,0.6152191,13.092867851257324
10.0,38.37146,18.760848999023438
10.0,18.4178,13.107075691223145
10.0,10.212952,15.202637672424316
10.0,1.2019501,15.128792762756348
13.0,13.866745,14.357686996459961
13.0,0.7353821,17.40924644470215
13.0,18.02687,20.75798225402832
13.0,3.2292328,12.246207237243652
13.0,11.297867,22.318408966064453
13.0,5.9224014,18.139829635620117
13.0,2.8564758,19.234859466552734
13.0,3.6692429,18.757545471191406
13.0,6.712181,13.42345142364502
13.0,1.8329697,16.069252014160156
17.0,3.8204422,20.269996643066406
17.0,11.994217,20.761856079101562
17.0,1.1142578,27.752466201782227
17.0,9.739288,20.015230178833008
17.0,5.096283,22.598526000976562
17.0,7.365143,19.791799545288086
22.0,6.2755814,14.729315757751465
22.0,1.4252777,28.77853775024414
22.0,5.2612686,22.865034103393555
22.0,7.575989,12.493733406066895
22.0,4.361618,28.811721801757812
22.0,5.4096527,28.89029884338379
22.0,2.1564941,26.206241607666016
22.0,1.0627441,27.8511962890625
22.0,18.492645,23.231159210205078
22.0,1.6235886,31.649580001831055
30.0,2.7879639,46.51588821411133
30.0,14.6315155,33.72732162475586
30.0,1.6126709,31.01774787902832
30.0,8.254906,31.20090675354004
30.0,37.8323,16.954212188720703
30.0,4.0872574,27.851083755493164
6.0,2.26223,12.241299629211426
